episode_id,seed,task_id,step,day,hour,weather,battery_level,solar_output,wind_output,generation,grid_price,home_demand,rule_action,rule_action_name,rule_reward,optimal_action,optimal_action_name,optimal_reward,reward_gap
3,0,3,21,1,20,sunny,67.99,0.44,5.92,6.36,12.5,12.01,2,SELL,0.815,2,SELL,0.815,0.0
3,0,3,22,1,21,sunny,55.98,0.15,2.31,2.46,6.53,12.2,1,DISTRIBUTE,-2.902,1,DISTRIBUTE,-2.902,0.0
3,0,3,23,1,22,sunny,55.98,0.1,3.63,3.73,6.66,7.22,1,DISTRIBUTE,-1.027,1,DISTRIBUTE,-1.027,0.0
3,0,3,24,1,23,sunny,55.98,0.02,5.47,5.49,7.46,6.63,1,DISTRIBUTE,-0.322,1,DISTRIBUTE,-0.322,0.0
3,0,3,25,2,0,sunny,55.98,0.45,3.51,3.96,3.02,3.92,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,26,2,1,sunny,59.94,0.32,4.38,4.7,3.12,4.12,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,27,2,2,sunny,64.64,0.47,4.03,4.5,3.22,3.86,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,28,2,3,sunny,69.14,0.12,3.2,3.32,3.02,4.96,1,DISTRIBUTE,-0.472,1,DISTRIBUTE,-0.472,0.0
3,0,3,29,2,4,sunny,69.14,0.27,2.05,2.32,3.08,3.83,1,DISTRIBUTE,-0.433,1,DISTRIBUTE,-0.433,0.0
3,0,3,30,2,5,sunny,69.14,0.01,4.46,4.47,2.56,4.26,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,31,2,6,sunny,73.61,0.31,3.87,4.18,5.85,7.36,1,DISTRIBUTE,-0.934,1,DISTRIBUTE,-0.934,0.0
3,0,3,32,2,7,sunny,73.61,4.24,4.95,9.19,5.56,11.04,1,DISTRIBUTE,-0.535,1,DISTRIBUTE,-0.535,0.0
3,0,3,33,2,8,sunny,73.61,7.84,5.85,13.69,5.96,11.5,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,34,2,9,sunny,87.3,10.9,3.28,14.18,5.81,11.73,0,STORE,-0.074,0,STORE,-0.074,0.0
3,0,3,35,2,10,sunny,100,13.17,4.38,17.55,4.88,6.6,0,STORE,-0.8775,0,STORE,-0.8775,0.0
3,0,3,36,2,11,sunny,100,14.88,2.11,16.99,5.24,7.14,0,STORE,-0.8495,0,STORE,-0.8495,0.0
3,0,3,37,2,12,sunny,100,15.16,2.89,18.05,4.74,7.61,0,STORE,-0.9025,0,STORE,-0.9025,0.0
3,0,3,38,2,13,sunny,100,14.58,3.74,18.32,4.6,7.4,0,STORE,-0.916,0,STORE,-0.916,0.0
3,0,3,39,2,14,sunny,100,13.15,3.34,16.49,4.94,7.67,0,STORE,-0.8245,0,STORE,-0.8245,0.0
3,0,3,40,2,15,sunny,100,11.03,2.68,13.71,5.15,6.67,0,STORE,-0.6855,0,STORE,-0.6855,0.0
3,0,3,41,2,16,sunny,100,7.94,3.8,11.74,4.62,6.45,0,STORE,-0.587,0,STORE,-0.587,0.0
3,0,3,42,2,17,sunny,100,4.15,2.76,6.91,12.34,7.61,2,SELL,0.8527,2,SELL,0.8527,0.0
3,0,3,43,2,18,sunny,92.39,0.09,3.11,3.2,12.14,12.61,2,SELL,0.3885,2,SELL,0.3885,0.0
3,0,3,44,2,19,sunny,79.78,0.4,3.38,3.78,11.79,11.26,2,SELL,0.4657,2,SELL,0.4657,0.0
3,0,3,45,2,20,sunny,68.52,0.4,3.08,3.48,11.92,11.69,2,SELL,0.4348,2,SELL,0.4348,0.0
3,0,3,46,2,21,sunny,56.83,0.21,3.64,3.85,6.66,12.84,1,DISTRIBUTE,-2.677,1,DISTRIBUTE,-2.677,0.0
3,0,3,47,2,22,sunny,56.83,0.0,5.77,5.77,7.49,7.76,1,DISTRIBUTE,-0.577,1,DISTRIBUTE,-0.577,0.0
3,0,3,48,2,23,sunny,56.83,0.22,5.8,6.02,6.72,7.85,1,DISTRIBUTE,-0.529,1,DISTRIBUTE,-0.529,0.0
3,0,3,49,3,0,cloudy,56.83,0.37,7.35,7.72,3.02,4.33,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,50,3,1,cloudy,64.55,0.14,5.36,5.5,2.57,3.45,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,51,3,2,cloudy,70.05,0.29,5.15,5.44,2.55,4.62,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,52,3,3,cloudy,75.49,0.45,6.77,7.22,3.4,4.85,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,53,3,4,cloudy,82.71,0.45,6.31,6.76,3.25,3.03,0,STORE,-0.0,0,STORE,-0.0,0.0
3,0,3,54,3,5,cloudy,89.47,0.09,5.2,5.29,3.02,4.33,0,STORE,-0.0,0,STORE,-0.0,0.0
3,0,3,55,3,6,cloudy,94.76,0.21,7.76,7.97,5.84,7.22,0,STORE,-0.1365,0,STORE,-0.1365,0.0
3,0,3,56,3,7,cloudy,100,1.29,7.45,8.74,6.28,11.95,1,DISTRIBUTE,-0.963,1,DISTRIBUTE,-0.963,0.0
3,0,3,57,3,8,cloudy,100,2.43,4.79,7.22,6.32,12.07,1,DISTRIBUTE,-1.455,1,DISTRIBUTE,-1.455,0.0
3,0,3,58,3,9,cloudy,100,3.27,7.17,10.44,6.31,12.84,1,DISTRIBUTE,-0.72,1,DISTRIBUTE,-0.72,0.0
3,0,3,59,3,10,cloudy,100,4.31,4.03,8.34,5.36,7.26,0,STORE,-0.417,0,STORE,-0.417,0.0
3,0,3,60,3,11,cloudy,100,4.37,5.09,9.46,5.03,6.54,0,STORE,-0.473,0,STORE,-0.473,0.0
3,0,3,61,3,12,cloudy,100,4.71,5.89,10.6,4.5,7.55,0,STORE,-0.53,0,STORE,-0.53,0.0
3,0,3,62,3,13,cloudy,100,4.37,4.51,8.88,4.57,6.25,0,STORE,-0.444,0,STORE,-0.444,0.0
3,0,3,63,3,14,cloudy,100,4.38,7.42,11.8,5.0,6.17,0,STORE,-0.59,0,STORE,-0.59,0.0
3,0,3,64,3,15,cloudy,100,3.34,5.26,8.6,5.15,6.7,0,STORE,-0.43,0,STORE,-0.43,0.0
3,0,3,65,3,16,cloudy,100,2.54,5.44,7.98,4.83,6.38,0,STORE,-0.399,0,STORE,-0.399,0.0
3,0,3,66,3,17,cloudy,100,1.23,6.22,7.45,11.88,7.43,2,SELL,0.8851,2,SELL,0.8851,0.0
3,0,3,67,3,18,cloudy,92.57,0.04,4.71,4.75,12.1,11.75,2,SELL,0.5747,0,STORE,-0.0,-0.5747
3,0,3,68,3,19,cloudy,97.32,0.39,5.52,5.91,12.12,12.6,2,SELL,0.7163,2,SELL,0.7163,0.0
3,0,3,69,3,20,cloudy,84.72,0.22,5.49,5.71,12.2,11.99,2,SELL,0.6966,0,STORE,-0.0,-0.6966
3,0,3,70,3,21,cloudy,90.43,0.21,6.78,6.99,6.75,11.92,1,DISTRIBUTE,-1.479,0,STORE,-0.0,1.479
3,0,3,71,3,22,cloudy,97.42,0.27,6.78,7.05,6.92,6.14,0,STORE,-0.2235,0,STORE,-0.2235,0.0
3,0,3,72,3,23,cloudy,100,0.21,7.52,7.73,6.87,7.87,1,DISTRIBUTE,-0.042,1,DISTRIBUTE,-0.042,0.0
3,0,3,73,4,0,stormy,100,0.0,13.39,13.39,2.76,4.58,1,DISTRIBUTE,-0.1762,1,DISTRIBUTE,-0.1762,0.0
3,0,3,74,4,1,stormy,100,0.0,10.78,10.78,3.31,3.25,1,DISTRIBUTE,-0.1506,1,DISTRIBUTE,-0.1506,0.0
3,0,3,75,4,2,stormy,100,0.0,11.97,11.97,3.29,4.77,1,DISTRIBUTE,-0.144,1,DISTRIBUTE,-0.144,0.0
3,0,3,76,4,3,stormy,100,0.0,12.01,12.01,3.06,4.47,1,DISTRIBUTE,-0.1508,1,DISTRIBUTE,-0.1508,0.0
3,0,3,77,4,4,stormy,100,0.0,8.62,8.62,2.5,4.18,1,DISTRIBUTE,-0.0888,1,DISTRIBUTE,-0.0888,0.0
